Random Forest Accuracy
Best Score = 0.6680
Best Hyper-parameters = {'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10}
0.6623 (+/-0.043) for {'criterion': 'gini', 'max_depth': 7, 'n_estimators': 1}
0.6811 (+/-0.025) for {'criterion': 'gini', 'max_depth': 7, 'n_estimators': 2}
0.7197 (+/-0.007) for {'criterion': 'gini', 'max_depth': 7, 'n_estimators': 3}
0.7273 (+/-0.008) for {'criterion': 'gini', 'max_depth': 7, 'n_estimators': 4}
0.7350 (+/-0.013) for {'criterion': 'gini', 'max_depth': 7, 'n_estimators': 5}
0.7395 (+/-0.005) for {'criterion': 'gini', 'max_depth': 7, 'n_estimators': 6}
0.7410 (+/-0.011) for {'criterion': 'gini', 'max_depth': 7, 'n_estimators': 7}
0.7461 (+/-0.007) for {'criterion': 'gini', 'max_depth': 7, 'n_estimators': 8}
0.7497 (+/-0.008) for {'criterion': 'gini', 'max_depth': 7, 'n_estimators': 9}
0.7469 (+/-0.007) for {'criterion': 'gini', 'max_depth': 7, 'n_estimators': 10}
0.6764 (+/-0.027) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 1}
0.7133 (+/-0.016) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 2}
0.7227 (+/-0.026) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 3}
0.7408 (+/-0.009) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 4}
0.7514 (+/-0.007) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 5}
0.7546 (+/-0.008) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 6}
0.7584 (+/-0.006) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 7}
0.7604 (+/-0.005) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 8}
0.7653 (+/-0.005) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 9}
0.7672 (+/-0.007) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 10}
0.6849 (+/-0.026) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 1}
0.7337 (+/-0.012) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 2}
0.7416 (+/-0.014) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 3}
0.7601 (+/-0.006) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 4}
0.7677 (+/-0.008) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 5}
0.7661 (+/-0.007) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 6}
0.7771 (+/-0.008) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 7}
0.7785 (+/-0.005) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 8}
